# Single Parameter Sweep Metadata
# N_SC: 150
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.882
# max_sidebands: 5
# timestamp: 2025-10-23 21:27:37
# disorder_type: from_file
# disorder_region: all_leads
# disorder_file: disorder_data_test_Nd=50_ld=10_v0=2Delta.csv
# adaptive_method: advanced
# adaptive_tol: 0.01
# adaptive_max_N: 100
# calculation: SPECTRA
# sweep_parameter: v_tau
# sweep_values: [0.882]
# outer_parallel: 4
v_tau,Magnetic Field,Energy (meV),DOS
0.882,0.0,-0.09150000000000003,0.00010978867373146367
0.882,0.0,-0.08999999999999997,0.00010921573827003532
0.882,0.0,-0.08850000000000002,0.00010865697296924545
0.882,0.0,-0.08699999999999997,0.00010811209078446463
0.882,0.0,-0.08550000000000002,0.00010758081458411388
0.882,0.0,-0.08399999999999996,0.00010706287679701078
0.882,0.0,-0.08250000000000002,0.00010655801906861831
0.882,0.0,-0.08099999999999996,0.00010606599194241846
0.882,0.0,-0.07950000000000002,0.00010558655455227171
0.882,0.0,-0.07799999999999996,0.00010511947431785181
0.882,0.0,-0.07650000000000001,0.00010466452667513791
0.882,0.0,-0.07499999999999996,0.00010422149479623551
0.882,0.0,-0.07350000000000001,0.0001037901693452478
0.882,0.0,-0.07199999999999995,0.00010337034821902861
0.882,0.0,-0.07050000000000001,0.00010296183632667438
0.882,0.0,-0.06899999999999995,0.00010256444535364486
0.882,0.0,-0.0675,0.00010217799355524115
0.882,0.0,-0.06599999999999995,0.00010180230555138226
0.882,0.0,-0.0645,0.00010143721213043018
0.882,0.0,-0.06299999999999994,0.00010108255006312086
0.882,0.0,-0.0615,0.00010073816192302288
0.882,0.0,-0.05999999999999994,0.00010040389591870143
0.882,0.0,-0.058499999999999996,0.00010007960572888456
0.882,0.0,-0.05699999999999994,9.976515034780935e-05
0.882,0.0,-0.055499999999999994,9.946039393843783e-05
0.882,0.0,-0.05399999999999994,9.916520568668234e-05
0.882,0.0,-0.05249999999999999,9.887945967076207e-05
0.882,0.0,-0.050999999999999934,9.860303472832581e-05
0.882,0.0,-0.04949999999999999,9.833581433466194e-05
0.882,0.0,-0.04799999999999993,9.807768648452853e-05
0.882,0.0,-0.046499999999999986,9.782854357956055e-05
0.882,0.0,-0.04500000000000004,9.758828232072301e-05
0.882,0.0,-0.04349999999999998,9.735680360855773e-05
0.882,0.0,-0.04200000000000004,9.713401244216876e-05
0.882,0.0,-0.04049999999999998,9.691981783028247e-05
0.882,0.0,-0.039000000000000035,9.671413269979088e-05
0.882,0.0,-0.03749999999999998,9.651687381450174e-05
0.882,0.0,-0.03600000000000003,9.632796169400457e-05
0.882,0.0,-0.034499999999999975,9.614732053867302e-05
0.882,0.0,-0.03300000000000003,9.59748781570762e-05
0.882,0.0,-0.03149999999999997,9.581056589921371e-05
0.882,0.0,-0.030000000000000027,9.565431859293886e-05
0.882,0.0,-0.02849999999999997,9.550607447964079e-05
0.882,0.0,-0.027000000000000024,9.536577516180671e-05
0.882,0.0,-0.025499999999999967,9.523336554541374e-05
0.882,0.0,-0.02400000000000002,9.510879379148401e-05
0.882,0.0,-0.022499999999999964,9.499201126782047e-05
0.882,0.0,-0.02100000000000002,9.488297250458431e-05
0.882,0.0,-0.019499999999999962,9.478163515341107e-05
0.882,0.0,-0.018000000000000016,9.468795994855508e-05
0.882,0.0,-0.01649999999999996,9.46019106727757e-05
0.882,0.0,-0.015000000000000013,9.452345412296572e-05
0.882,0.0,-0.013499999999999956,9.445256008177639e-05
0.882,0.0,-0.01200000000000001,9.438920129018464e-05
0.882,0.0,-0.010499999999999954,9.433335342246227e-05
0.882,0.0,-0.009000000000000008,9.428499506623824e-05
0.882,0.0,-0.007499999999999951,9.424410770147732e-05
0.882,0.0,-0.006000000000000005,9.421067568515023e-05
0.882,0.0,-0.0044999999999999485,9.418468623764382e-05
0.882,0.0,-0.0030000000000000027,9.416612943067342e-05
0.882,0.0,-0.0014999999999999458,9.415499817880396e-05
0.882,0.0,0.0,9.415128823355944e-05
0.882,0.0,0.0015000000000000568,9.415499817880404e-05
0.882,0.0,0.0030000000000000027,9.416612943067346e-05
0.882,0.0,0.0045000000000000595,9.418468623764375e-05
0.882,0.0,0.006000000000000005,9.42106756851503e-05
0.882,0.0,0.007500000000000062,9.424410770147736e-05
0.882,0.0,0.009000000000000008,9.428499506623817e-05
0.882,0.0,0.010500000000000065,9.433335342246227e-05
0.882,0.0,0.01200000000000001,9.43892012901846e-05
0.882,0.0,0.013500000000000068,9.445256008177634e-05
0.882,0.0,0.015000000000000013,9.45234541229656e-05
0.882,0.0,0.01650000000000007,9.460191067277563e-05
0.882,0.0,0.018000000000000016,9.468795994855508e-05
0.882,0.0,0.019499999999999962,9.478163515341108e-05
0.882,0.0,0.02100000000000002,9.488297250458422e-05
0.882,0.0,0.022499999999999964,9.49920112678204e-05
