# Calculation Metadata
# N_SC: 1
# N_junction: 2
# delta: 0.3
# alpha: 4.0
# v_tau: 0.842
# max_sidebands: 20
# timestamp: 2025-10-22 19:09:03
# common_timestamp: 20251022_184223
# disorder_type: none
# calculation: DC_IV_2D
# duration: 1600.02290558815
# B_points: 21
# B_max: 2.0
# Vbias_points: 501
# outer_parallel_n: 1
Magnetic Field,Bias Voltage (meV),Current (nA),SidebandN
0.30000000000000004,0.213,2.1918491940926694,20
0.30000000000000004,0.216,2.239419012694118,20
0.30000000000000004,0.219,2.2866593645158786,20
0.30000000000000004,0.222,2.3336730359690323,20
0.30000000000000004,0.22499999999999998,2.380531754678435,20
0.30000000000000004,0.22799999999999998,2.4272871330257852,20
0.30000000000000004,0.23099999999999998,2.4740797111698396,20
0.30000000000000004,0.23399999999999999,2.5216837135359933,20
0.30000000000000004,0.237,2.5705395056100877,20
0.30000000000000004,0.24,2.620772285831734,20
0.30000000000000004,0.24299999999999997,2.6724698083803133,20
0.30000000000000004,0.24599999999999997,2.725700767164408,20
0.30000000000000004,0.24899999999999997,2.780508279437593,20
0.30000000000000004,0.252,2.8368794908841215,20
0.30000000000000004,0.255,2.894600559231674,20
0.30000000000000004,0.258,2.9527010115859493,20
0.30000000000000004,0.261,3.0106255748966317,20
